frame	position	phase	lumen_area	lumen_circumf	longest_distance	shortest_distance	elliptic_ratio	vector_length	vector_angle	measurement_1	measurement_2
520	17.22	-	9.70	11.18	3.96	3.11	1.27	1.33	327.47		
521	17.26	-	9.81	11.21	3.90	3.16	1.23	1.21	327.52		
522	17.29	-	9.25	10.82	3.68	3.19	1.15	1.07	314.09		
523	17.32	-	9.39	10.89	3.65	3.34	1.09	0.96	279.46		
524	17.36	-	8.79	10.61	3.72	3.00	1.24	0.90	276.35		
525	17.39	D	8.76	10.62	5.92	4.59	1.25	0.92	274.65		
526	17.42	-	9.09	10.80	3.81	3.00	1.27	0.92	294.09		
527	17.46	-	10.33	11.44	3.87	3.37	1.15	1.02	302.46		
528	17.49	-	10.28	11.50	4.08	3.17	1.29	1.06	304.70		
529	17.52	-	9.85	11.32	4.09	3.03	1.35	1.16	320.06		
530	17.56	-	10.24	11.53	4.15	3.13	1.32	1.12	325.09		
531	17.59	S	9.56	11.10	3.95	3.09	1.28	1.30	328.27		
532	17.62	-	9.29	10.97	3.93	2.99	1.31	1.27	327.09		
533	17.65	-	9.42	11.00	3.88	3.05	1.27	1.24	325.86		
534	17.69	-	9.22	10.84	3.78	3.12	1.21	1.09	315.79		
535	17.72	-	10.27	11.38	3.77	3.47	1.09	0.97	295.09		
536	17.75	-	8.08	10.33	3.81	2.64	1.44	0.92	284.29		
537	17.79	D	9.18	10.84	3.76	3.05	1.22	0.95	275.56		
538	17.82	-	7.83	10.06	3.59	2.75	1.31	0.83	293.46		
539	17.85	-	9.84	11.15	3.76	3.34	1.12	0.96	303.01		
540	17.89	-	9.57	11.10	3.99	3.07	1.30	1.08	312.62		
541	17.92	-	10.13	11.42	4.07	3.17	1.28	1.19	321.58		
542	17.95	-	10.38	11.57	4.13	3.20	1.29	1.22	328.17		
543	17.99	-	9.81	11.24	4.01	3.11	1.29	1.27	331.80		
544	18.02	S	9.39	11.00	3.92	3.05	1.28	1.30	330.12		
545	18.05	-	10.63	11.64	4.06	3.36	1.21	1.29	333.66		
546	18.09	-	9.12	10.80	3.79	3.07	1.24	1.12	316.45		
547	18.12	-	9.59	11.03	3.72	3.26	1.14	1.00	305.06		
548	18.15	-	8.51	10.46	3.68	2.90	1.27	1.05	276.21		
549	18.19	D	8.91	10.68	5.83	4.69	1.22	0.96	275.35		
550	18.22	-	9.05	10.75	3.76	3.06	1.23	0.91	280.54		
551	18.25	-	8.50	10.40	3.62	2.99	1.21	0.89	294.47		
552	18.29	-	9.27	10.96	3.94	2.95	1.34	1.15	311.12		
553	18.32	-	9.59	11.12	3.96	3.04	1.30	1.22	319.28		
554	18.35	-	9.76	11.20	3.99	3.14	1.27	1.30	327.09		
555	18.38	-	10.22	11.53	4.17	3.11	1.34	1.32	331.63		
556	18.42	S	9.24	10.93	3.90	3.02	1.29	1.33	329.31		
557	18.45	-	8.98	10.78	3.84	2.94	1.30	1.29	331.20		
558	18.48	-	9.03	10.78	3.81	2.98	1.28	1.24	325.08		
559	18.52	-	9.18	10.80	3.71	3.15	1.18	1.03	312.56		
560	18.55	-	9.01	10.72	3.70	3.12	1.18	1.00	275.42		
561	18.58	-	8.04	10.21	3.68	2.76	1.33	0.95	290.81		
562	18.62	D	9.18	10.82	5.80	4.95	1.14	0.88	272.40		
563	18.65	-	8.94	10.70	3.76	3.02	1.25	0.98	303.66		
564	18.68	-	9.46	11.00	3.87	3.12	1.24	1.21	313.41		
565	18.72	-	8.73	10.64	3.80	2.89	1.31	1.19	316.01		
566	18.75	-	9.01	10.81	3.88	2.93	1.33	1.26	327.16		
567	18.78	-	9.82	11.23	3.94	3.20	1.23	1.34	332.43		
568	18.82	-	9.70	11.31	4.11	2.98	1.38	1.27	330.37		
569	18.85	S	8.76	10.71	3.87	2.86	1.35	1.37	332.18		
570	18.88	-	9.86	11.31	4.02	3.08	1.31	1.24	330.85		
571	18.92	-	9.44	11.00	3.87	3.08	1.26	1.17	312.10		
572	18.95	-	9.97	11.26	3.81	3.31	1.15	1.11	281.29		
573	18.98	-	8.37	10.40	3.69	2.82	1.31	0.86	282.43		
574	19.02	D	8.47	10.47	5.84	4.43	1.32	0.90	285.31		
575	19.05	-	8.02	10.19	3.66	2.76	1.33	1.05	303.15		
576	19.08	-	8.61	10.53	3.73	2.91	1.28	1.19	307.45		
577	19.11	-	8.29	10.36	3.75	2.86	1.31	1.29	306.89		
578	19.15	-	7.86	10.13	3.72	2.68	1.39	1.26	318.54		
579	19.18	-	8.66	10.58	3.77	2.91	1.30	1.25	329.49		
580	19.21	S	8.04	10.18	3.64	2.90	1.19	1.21	333.54		
581	19.25	-	9.69	11.20	4.04	3.07	1.32	1.17	324.08		
582	19.28	-	9.40	10.97	3.85	3.13	1.23	1.22	329.72		
583	19.31	-	8.91	10.78	3.91	2.85	1.37	1.10	312.80		
584	19.35	-	9.66	11.10	3.85	3.21	1.20	1.03	291.55		
585	19.38	-	8.33	10.45	3.79	2.71	1.40	1.03	283.47		
586	19.41	D	8.39	10.40	5.83	4.46	1.31	0.96	288.51		
587	19.45	-	7.60	9.99	3.68	2.60	1.41	1.10	300.43		
588	19.48	-	7.78	10.04	3.63	2.72	1.34	1.27	302.42		
589	19.51	-	8.24	10.42	3.82	2.69	1.42	1.31	304.11		
590	19.55	-	7.57	10.00	3.68	2.54	1.45	1.31	309.95		
591	19.58	-	8.15	10.30	3.68	2.73	1.35	1.24	323.24		
592	19.61	S	8.02	10.21	3.69	2.87	1.23	1.30	334.61		
593	19.65	-	9.45	11.04	3.93	3.02	1.30	1.18	327.14		
594	19.68	-	9.83	11.26	4.00	3.17	1.26	1.11	314.80		
595	19.71	-	9.06	10.91	3.98	2.80	1.42	1.15	314.35		
596	19.75	-	8.95	10.71	3.78	3.03	1.25	1.05	300.92		
597	19.78	-	7.95	10.23	3.69	2.66	1.39	0.92	285.53		
598	19.81	D	9.43	11.00	6.00	4.82	1.22	0.96	277.13		
599	19.85	-	8.25	10.38	3.75	2.71	1.39	0.97	293.15		
600	19.88	-	8.29	10.36	3.72	2.79	1.33	1.18	308.04		
601	19.91	-	7.84	10.11	3.71	2.70	1.37	1.23	308.28		
602	19.94	-	8.27	10.39	3.77	2.75	1.37	1.26	314.07		
603	19.98	-	8.01	10.17	3.60	2.80	1.29	1.22	322.65		
604	20.01	S	8.21	10.31	3.70	2.82	1.28	1.27	329.48		
605	20.04	-	8.84	10.68	3.78	2.91	1.30	1.16	327.06		
606	20.08	-	9.14	10.90	3.95	2.94	1.34	1.01	316.03		
607	20.11	-	9.94	11.29	3.98	3.21	1.24	1.07	307.71		
608	20.14	-	9.29	10.94	3.90	2.99	1.30	1.03	309.21		
609	20.18	-	8.83	10.64	3.74	3.00	1.25	0.95	290.02		
610	20.21	-	8.23	10.30	3.65	2.82	1.29	0.94	289.49		
611	20.24	D	8.29	10.33	5.70	4.48	1.27	0.93	289.96		
612	20.28	-	7.90	10.10	3.60	2.76	1.31	1.07	305.89		
613	20.31	-	8.42	10.35	3.57	2.99	1.20	1.14	313.55		
614	20.34	-	8.05	10.23	3.70	2.75	1.35	1.22	314.25		
615	20.38	-	7.89	10.11	3.64	2.72	1.34	1.19	323.02		
616	20.41	-	8.53	10.50	3.74	2.86	1.31	1.26	331.80		
617	20.44	S	8.44	10.53	3.85	2.76	1.29	1.18	328.77		
618	20.48	-	8.96	10.83	3.90	2.83	1.38	0.98	326.58		
619	20.51	-	9.87	11.23	3.94	3.22	1.22	1.07	316.73		
620	20.54	-	9.84	11.18	3.68	3.33	1.11	0.98	298.60		
621	20.58	-	10.24	11.43	3.94	3.26	1.21	1.03	295.25		
622	20.61	-	9.05	10.80	3.82	2.95	1.29	1.00	288.33		
623	20.64	D	9.01	10.81	6.06	4.54	1.33	0.97	286.87		
624	20.67	-	8.43	10.47	3.77	2.79	1.35	1.07	304.59		
625	20.71	-	8.36	10.37	3.68	2.87	1.28	1.18	310.83		
626	20.74	-	8.09	10.24	3.69	2.76	1.34	1.21	315.57		
627	20.77	-	7.53	9.91	3.63	2.62	1.39	1.21	321.60		
628	20.81	-	8.29	10.37	3.71	2.83	1.31	1.24	329.66		
629	20.84	S	7.96	10.14	3.62	2.77	1.31	1.18	329.62		
630	20.87	-	10.04	11.44	4.13	3.04	1.36	1.14	329.95		
631	20.91	-	10.02	11.34	3.99	3.18	1.25	1.13	318.13		
632	20.94	-	9.68	11.12	3.86	3.24	1.19	1.07	301.72		
633	20.97	-	9.97	11.27	3.87	3.27	1.19	1.03	302.47		
634	21.01	-	9.23	10.89	3.82	3.02	1.26	1.02	286.39		
635	21.04	-	9.21	10.92	3.91	2.97	1.32	0.97	284.04		
636	21.07	D	8.60	10.57	5.96	4.42	1.35	0.99	300.48		
637	21.11	-	8.47	10.45	3.74	2.86	1.30	1.19	312.17		
638	21.14	-	7.66	9.99	3.63	2.65	1.37	1.15	313.49		
639	21.17	-	7.72	10.03	3.66	2.68	1.36	1.21	322.71		
640	21.21	-	8.51	10.44	3.69	2.97	1.24	1.23	333.52		
641	21.24	-	7.93	10.12	3.61	2.77	1.30	1.20	332.55		
642	21.27	S	8.64	10.62	3.84	2.87	1.30	1.19	331.92		
643	21.31	-	9.31	11.03	3.98	2.88	1.38	1.14	329.33		
644	21.34	-	8.82	10.67	3.78	2.95	1.28	0.98	314.84		
645	21.37	-	9.69	11.08	3.72	3.34	1.11	1.07	302.96		
646	21.41	D	8.65	10.65	6.06	4.32	1.40	1.09	292.97		
647	21.44	-	8.91	10.71	3.77	2.96	1.28	1.02	288.76		
648	21.47	-	8.42	10.49	3.82	2.76	1.38	1.00	298.57		
649	21.51	-	8.67	10.57	3.77	2.92	1.29	1.26	311.19		
650	21.54	-	8.84	10.69	3.85	2.92	1.32	1.26	315.26		
651	21.57	-	8.62	10.58	3.81	2.85	1.34	1.33	320.82		
652	21.60	-	9.40	10.96	3.77	3.15	1.20	1.31	338.47		
653	21.64	S	8.47	10.43	3.66	3.00	1.21	1.32	339.13		
654	21.67	-	8.87	10.68	3.77	2.96	1.28	1.26	332.99		
655	21.70	-	9.38	11.03	3.97	2.97	1.34	1.25	325.40		
656	21.74	-	8.90	10.74	3.85	2.90	1.33	1.15	314.15		
657	21.77	-	10.42	11.55	4.02	3.23	1.25	1.18	301.84		
658	21.80	-	9.36	11.04	3.99	2.93	1.36	1.04	292.64		
659	21.84	-	8.96	10.78	3.87	2.92	1.33	1.13	294.88		
660	21.87	D	8.53	10.54	6.00	4.42	1.36	1.19	299.61		
661	21.90	-	7.48	9.90	3.64	2.61	1.39	1.25	307.12		
662	21.94	-	8.14	10.35	3.81	2.70	1.41	1.27	312.64		
663	21.97	-	8.09	10.33	3.80	2.64	1.44	1.19	317.70		
664	22.00	-	8.99	10.80	3.80	3.03	1.25	1.19	335.62		
665	22.04	-	7.66	9.96	3.50	2.82	1.24	1.05	342.24		
666	22.07	S	8.66	10.52	3.59	3.04	1.28	1.25	339.79		
667	22.10	-	8.26	10.52	3.94	2.59	1.52	1.32	321.45		
668	22.14	-	8.44	10.46	3.78	2.83	1.34	1.20	315.08		
669	22.17	-	8.85	10.67	3.77	2.97	1.27	1.21	302.46		
670	22.20	-	9.04	10.83	3.91	2.91	1.35	1.22	298.90		
671	22.24	-	8.10	10.24	3.65	2.79	1.31	1.16	295.05		
672	22.27	D	7.18	9.76	5.67	3.87	1.46	1.29	298.45		
673	22.30	-	8.41	10.50	3.79	2.73	1.39	1.28	309.30		
674	22.33	-	7.66	10.04	3.62	2.59	1.40	1.26	311.87		
675	22.37	-	8.49	10.45	3.70	2.93	1.26	1.25	324.71		
676	22.40	-	8.89	10.64	3.66	3.13	1.17	1.27	341.95		
