frame	position	phase	lumen_area	lumen_circumf	longest_distance	shortest_distance	elliptic_ratio	vector_length	vector_angle	measurement_1	measurement_2
743	24.62	-	9.69	11.11	3.85	3.22	1.20	1.27	314.39		
744	24.66	-	9.67	11.11	3.86	3.15	1.22	1.21	310.07		
745	24.69	D	9.57	11.05	5.99	4.92	1.22	1.26	306.92		
746	24.72	-	8.58	10.55	3.78	2.84	1.33	1.20	304.97		
747	24.76	-	8.77	10.65	3.82	2.91	1.31	1.29	316.93		
748	24.79	-	8.79	10.59	3.66	3.01	1.21	1.28	326.87		
749	24.82	-	10.07	11.32	3.81	3.38	1.13	1.41	337.17		
750	24.86	-	9.88	11.20	3.77	3.35	1.13	1.32	345.92		
751	24.89	S	8.81	10.63	3.73	3.04	1.23	1.37	341.46		
752	24.92	-	8.44	10.44	3.70	2.87	1.29	1.31	335.01		
753	24.96	-	9.38	10.97	3.86	3.07	1.26	1.37	327.53		
754	24.99	-	9.62	11.07	3.82	3.21	1.19	1.36	325.22		
755	25.02	-	10.22	11.39	3.92	3.36	1.17	1.35	318.97		
756	25.06	-	10.54	11.54	3.90	3.48	1.12	1.28	316.73		
757	25.09	D	9.96	11.24	6.04	5.13	1.18	1.29	309.13		
758	25.12	-	8.77	10.67	3.84	2.89	1.33	1.26	307.19		
759	25.16	-	8.92	10.72	3.83	2.97	1.29	1.30	317.67		
760	25.19	-	9.78	11.14	3.80	3.28	1.16	1.32	328.41		
761	25.22	-	9.60	11.05	3.74	3.28	1.14	1.38	336.25		
762	25.26	-	9.22	10.83	3.74	3.18	1.18	1.34	344.25		
763	25.29	S	9.15	10.83	3.77	3.11	1.21	1.39	347.20		
764	25.32	-	8.91	10.70	3.76	3.02	1.24	1.34	344.91		
765	25.35	-	8.38	10.41	3.74	2.85	1.31	1.28	325.61		
766	25.39	-	8.54	10.45	3.66	2.98	1.23	1.30	325.03		
767	25.42	-	9.09	10.74	3.68	3.18	1.16	1.26	318.72		
768	25.45	-	10.02	11.24	3.73	3.42	1.09	1.26	321.09		
769	25.49	-	9.92	11.23	3.87	3.29	1.17	1.32	311.07		
770	25.52	D	8.77	10.60	5.83	4.64	1.26	1.23	307.96		
771	25.55	-	8.75	10.61	3.78	2.95	1.28	1.23	315.38		
772	25.59	-	9.50	11.00	3.73	3.26	1.14	1.34	330.49		
773	25.62	-	9.40	10.96	3.69	3.31	1.11	1.42	334.81		
774	25.65	-	8.91	10.66	3.68	3.11	1.18	1.34	346.00		
775	25.69	S	8.79	10.59	3.64	3.09	1.18	1.33	349.58		
776	25.72	-	8.52	10.46	3.67	2.99	1.23	1.35	346.40		
777	25.75	-	8.62	10.48	3.65	3.05	1.20	1.23	331.12		
778	25.79	-	8.61	10.49	3.68	2.98	1.23	1.31	325.83		
779	25.82	-	8.53	10.43	3.63	3.01	1.21	1.34	318.11		
780	25.85	-	9.99	11.24	3.79	3.39	1.12	1.28	317.88		
781	25.89	-	9.34	10.89	3.77	3.19	1.18	1.21	309.66		
782	25.92	-	8.95	10.73	3.81	2.98	1.28	1.21	308.11		
783	25.95	D	8.52	10.48	5.84	4.54	1.29	1.27	312.97		
784	25.98	-	8.07	10.22	3.67	2.78	1.32	1.26	319.95		
785	26.02	-	8.46	10.36	3.53	3.10	1.14	1.30	336.03		
786	26.05	-	9.20	10.81	3.66	3.17	1.16	1.30	348.42		
787	26.08	-	8.79	10.59	3.67	3.05	1.20	1.34	357.37		
788	26.12	S	8.78	10.61	3.70	2.99	1.24	1.31	357.28		
789	26.15	-	7.57	9.87	3.51	2.80	1.25	1.21	343.21		
790	26.18	-	8.54	10.51	3.76	2.85	1.32	1.32	323.41		
791	26.22	-	8.23	10.31	3.72	2.84	1.31	1.30	315.76		
792	26.25	-	9.18	10.82	3.78	3.14	1.20	1.38	309.50		
793	26.28	D	9.26	10.87	5.91	4.84	1.19	1.29	308.42		
794	26.32	-	8.79	10.62	3.72	3.04	1.22	1.34	307.21		
795	26.35	-	8.67	10.61	3.78	2.92	1.29	1.33	311.91		
796	26.38	-	6.70	9.32	3.36	2.55	1.32	1.17	327.77		
797	26.42	-	9.13	10.77	3.66	3.16	1.16	1.22	348.05		
798	26.45	-	9.25	10.87	3.80	3.12	1.22	1.21	357.72		
799	26.48	-	9.15	10.75	3.58	3.25	1.10	1.23	6.53		
800	26.52	S	7.83	9.98	3.46	2.89	1.20	1.17	14.38		
801	26.55	-	8.51	10.39	3.55	3.04	1.17	1.26	12.42		
802	26.58	-	6.26	9.15	3.41	2.25	1.51	1.17	320.24		
803	26.61	-	8.00	10.21	3.70	2.74	1.35	1.31	312.71		
804	26.65	-	8.50	10.43	3.66	3.03	1.21	1.34	308.20		
805	26.68	D	8.93	10.68	5.84	4.83	1.21	1.32	307.17		
806	26.71	-	8.26	10.31	3.69	2.91	1.27	1.32	309.07		
807	26.75	-	7.93	10.17	3.68	2.71	1.36	1.30	315.54		
808	26.78	-	7.80	10.06	3.61	2.70	1.34	1.23	324.12		
809	26.81	-	8.88	10.63	3.60	3.13	1.15	1.16	346.94		
810	26.85	-	9.52	11.02	3.78	3.17	1.19	1.22	355.97		
811	26.88	S	8.95	10.63	3.53	3.21	1.10	1.26	5.11		
812	26.91	-	8.17	10.17	3.43	3.08	1.11	1.21	12.91		
813	26.95	-	8.56	10.41	3.51	3.10	1.13	1.26	15.35		
814	26.98	-	7.24	9.74	3.54	2.57	1.38	1.26	336.55		
815	27.01	-	8.32	10.36	3.73	2.87	1.30	1.30	315.69		
816	27.05	-	9.03	10.75	3.76	3.06	1.23	1.37	312.95		
817	27.08	-	9.13	10.77	3.71	3.18	1.16	1.34	313.98		
818	27.11	D	8.47	10.39	5.67	4.66	1.22	1.28	310.54		
819	27.15	-	8.94	10.70	3.77	3.06	1.23	1.35	315.60		
820	27.18	-	7.66	10.03	3.67	2.60	1.41	1.24	323.70		
821	27.21	-	7.80	9.96	3.41	2.92	1.17	1.16	339.80		
822	27.25	-	9.35	10.88	3.66	3.24	1.13	1.23	354.52		
823	27.28	-	9.29	10.86	3.66	3.20	1.14	1.34	4.56		
824	27.31	S	7.91	10.03	3.40	2.93	1.16	1.22	5.70		
825	27.34	-	9.13	10.76	3.65	3.16	1.15	1.31	8.69		
826	27.38	-	7.84	10.03	3.49	2.85	1.23	1.26	351.02		
827	27.41	-	8.58	10.52	3.75	2.88	1.30	1.29	323.29		
828	27.44	-	8.82	10.61	3.67	3.07	1.19	1.28	317.68		
829	27.48	D	9.33	10.92	5.94	4.90	1.21	1.37	314.89		
830	27.51	-	9.39	10.91	3.70	3.25	1.14	1.25	315.96		
831	27.54	-	9.33	10.89	3.73	3.20	1.17	1.30	314.90		
832	27.58	-	9.41	10.96	3.78	3.16	1.19	1.30	320.12		
833	27.61	-	8.59	10.45	3.58	3.08	1.16	1.29	335.99		
834	27.64	-	8.73	10.52	3.54	3.12	1.14	1.23	350.34		
835	27.68	-	9.13	10.78	3.70	3.14	1.18	1.28	359.66		
836	27.71	-	8.50	10.43	3.66	2.94	1.25	1.27	2.67		
837	27.74	S	8.71	10.54	3.61	3.04	1.21	1.29	3.15		
838	27.78	-	7.57	9.86	3.47	2.84	1.22	1.22	345.20		
839	27.81	-	8.66	10.57	3.74	2.89	1.29	1.28	325.12		
840	27.84	-	9.29	10.88	3.79	3.14	1.21	1.31	321.97		
841	27.88	-	9.33	10.92	3.83	3.12	1.23	1.34	319.31		
842	27.91	D	9.63	11.05	5.90	5.10	1.16	1.25	318.98		
843	27.94	-	9.14	10.76	3.68	3.19	1.15	1.24	316.26		
844	27.98	-	9.48	10.98	3.80	3.22	1.18	1.28	319.62		
845	28.01	-	9.52	11.01	3.71	3.25	1.14	1.35	332.48		
846	28.04	-	8.78	10.56	3.59	3.17	1.13	1.26	341.69		
847	28.07	-	8.86	10.59	3.55	3.15	1.12	1.27	0.07		
848	28.11	-	8.47	10.42	3.65	2.96	1.23	1.29	2.66		
849	28.14	S	8.52	10.41	3.55	3.05	1.16	1.28	2.32		
850	28.17	-	7.92	10.06	3.46	2.92	1.19	1.32	355.95		
851	28.21	-	8.63	10.51	3.65	3.03	1.21	1.31	334.39		
852	28.24	-	8.96	10.72	3.76	3.02	1.24	1.31	323.60		
853	28.27	-	9.25	10.87	3.79	3.13	1.21	1.35	321.26		
854	28.31	-	9.72	11.13	3.84	3.20	1.20	1.34	321.32		
855	28.34	D	9.42	10.94	5.88	5.02	1.17	1.31	320.19		
856	28.37	-	9.26	10.87	3.77	3.10	1.21	1.30	320.95		
857	28.41	-	9.29	10.90	3.78	3.13	1.21	1.34	330.81		
858	28.44	-	8.49	10.38	3.55	3.06	1.16	1.26	339.77		
859	28.47	-	8.79	10.54	3.54	3.15	1.12	1.26	357.67		
860	28.51	-	8.97	10.68	3.66	3.11	1.17	1.31	2.71		
861	28.54	S	8.15	10.17	3.44	2.98	1.17	1.21	4.19		
862	28.57	-	8.58	10.46	3.59	3.06	1.17	1.32	357.68		
863	28.61	-	8.49	10.43	3.63	2.96	1.23	1.30	336.59		
864	28.64	-	9.44	11.00	3.83	3.09	1.24	1.33	326.04		
865	28.67	-	9.31	10.95	3.92	3.04	1.29	1.37	320.69		
866	28.71	D	9.23	10.87	5.95	4.83	1.23	1.30	321.87		
867	28.74	-	9.00	10.70	3.69	3.13	1.18	1.28	319.30		
868	28.77	-	9.25	10.85	3.72	3.18	1.17	1.32	321.76		
869	28.80	-	9.22	10.84	3.73	3.18	1.18	1.31	331.94		
870	28.84	-	8.00	10.09	3.47	2.91	1.19	1.26	337.47		
871	28.87	-	8.95	10.64	3.55	3.16	1.12	1.23	357.86		
872	28.90	-	9.50	11.00	3.75	3.16	1.19	1.30	4.19		
873	28.94	S	8.37	10.33	3.58	2.99	1.20	1.25	4.40		
874	28.97	-	9.53	11.01	3.77	3.21	1.17	1.33	2.94		
875	29.00	-	7.83	9.97	3.42	2.93	1.17	1.21	343.58		
876	29.04	-	9.79	11.18	3.86	3.21	1.20	1.32	334.64		
877	29.07	-	9.25	10.86	3.75	3.15	1.19	1.35	327.99		
878	29.10	-	9.30	10.88	3.75	3.19	1.17	1.32	322.61		
879	29.14	D	9.92	11.21	5.90	5.24	1.13	1.35	324.69		
880	29.17	-	9.35	10.89	3.71	3.23	1.15	1.30	322.29		
881	29.20	-	9.01	10.72	3.67	3.17	1.16	1.32	330.03		
882	29.24	-	8.55	10.44	3.54	3.00	1.18	1.24	338.41		
883	29.27	-	9.23	10.81	3.62	3.23	1.12	1.27	356.03		
884	29.30	-	9.26	10.83	3.67	3.21	1.15	1.27	5.48		
885	29.34	-	9.12	10.75	3.60	3.22	1.12	1.29	8.95		
886	29.37	S	9.04	10.72	3.66	3.13	1.17	1.28	6.84		
887	29.40	-	8.48	10.42	3.55	3.00	1.18	1.32	351.87		
888	29.43	-	9.27	10.89	3.79	3.11	1.22	1.31	333.34		
889	29.47	-	9.57	11.06	3.85	3.16	1.22	1.30	330.35		
890	29.50	-	9.39	10.93	3.77	3.20	1.18	1.33	327.83		
891	29.53	D	9.63	11.04	5.84	5.21	1.12	1.30	326.01		
892	29.57	-	9.28	10.87	3.72	3.22	1.15	1.30	326.50		
893	29.60	-	9.11	10.79	3.72	3.14	1.18	1.33	333.08		
894	29.63	-	8.49	10.44	3.65	3.05	1.19	1.33	341.29		
895	29.67	-	9.54	10.99	3.71	3.32	1.12	1.30	359.92		
896	29.70	-	9.36	10.87	3.61	3.31	1.09	1.32	26.86		
897	29.73	-	8.18	10.21	3.53	2.93	1.20	1.26	29.77		
898	29.77	S	8.12	10.16	3.50	3.07	1.18	1.25	35.95		
899	29.80	-	8.23	10.28	3.60	2.94	1.23	1.30	28.15		
900	29.83	-	7.92	10.08	3.51	2.87	1.23	1.21	349.27		
901	29.87	-	8.11	10.15	3.43	3.08	1.11	1.18	334.85		
902	29.90	-	8.54	10.43	3.58	3.07	1.17	1.31	328.46		
903	29.93	D	8.47	10.36	5.50	4.84	1.19	1.32	326.47		
904	29.97	-	8.42	10.39	3.62	2.96	1.22	1.28	324.63		
905	30.00	-	8.70	10.56	3.68	3.01	1.22	1.28	332.00		
906	30.03	-	8.24	10.25	3.49	2.95	1.18	1.20	357.60		
907	30.07	-	9.91	11.25	3.79	3.38	1.12	1.28	34.76		
908	30.10	-	7.97	10.27	3.83	2.68	1.43	1.31	49.56		
909	30.13	S	8.35	10.38	3.75	2.89	1.28	1.28	47.48		
910	30.16	-	7.78	10.02	3.58	2.81	1.28	1.20	48.46		
911	30.20	-	8.17	10.23	3.61	2.89	1.25	1.23	53.89		
912	30.23	-	7.04	9.65	3.55	2.45	1.44	1.18	27.79		
913	30.26	-	8.69	10.52	3.61	3.07	1.18	1.27	349.94		
914	30.30	-	9.08	10.73	3.61	3.22	1.12	1.32	332.93		
915	30.33	-	8.58	10.44	3.51	3.17	1.11	1.20	328.50		
916	30.36	D	9.12	10.78	5.78	4.97	1.16	1.33	331.68		
917	30.40	-	6.99	9.51	3.34	2.77	1.21	1.18	341.32		
918	30.43	-	11.64	12.54	4.46	3.45	1.29	1.50	30.39		
919	30.46	-	8.75	10.60	3.73	2.99	1.25	1.33	46.57		
920	30.50	-	7.76	10.11	3.75	2.64	1.42	1.32	52.80		
921	30.53	S	8.08	10.27	3.73	2.71	1.36	1.34	49.53		
922	30.56	-	7.72	10.10	3.73	2.62	1.42	1.29	52.31		
923	30.60	-	8.54	10.56	3.84	2.80	1.37	1.37	56.42		
924	30.63	-	6.96	9.54	3.48	2.55	1.37	1.27	47.96		
925	30.66	-	8.40	10.35	3.55	2.98	1.19	1.25	0.58		
926	30.70	-	9.25	10.84	3.61	3.28	1.10	1.30	337.27		
927	30.73	-	8.93	10.65	3.64	3.14	1.16	1.28	332.66		
928	30.76	D	9.38	10.91	3.65	3.26	1.12	1.31	331.50		
929	30.80	-	8.46	10.37	3.54	3.03	1.17	1.28	335.00		
930	30.83	-	8.69	10.52	3.62	3.06	1.18	1.25	0.15		
931	30.86	-	10.47	11.56	3.79	3.56	1.07	1.33	33.37		
932	30.89	-	8.50	10.49	3.77	2.86	1.32	1.39	51.34		
933	30.93	S	8.61	10.56	5.98	4.55	1.33	1.37	51.69		
934	30.96	-	8.84	10.69	3.81	2.94	1.29	1.40	51.23		
935	30.99	-	9.23	10.89	3.86	3.02	1.28	1.41	54.59		
936	31.03	-	8.29	10.35	3.71	2.82	1.31	1.41	49.87		
937	31.06	-	8.87	10.66	3.68	3.03	1.21	1.29	4.10		
938	31.09	-	9.14	10.80	3.68	3.15	1.17	1.35	346.95		
939	31.13	-	9.43	10.98	3.74	3.26	1.15	1.35	341.63		
940	31.16	D	9.26	10.86	3.70	3.21	1.15	1.33	337.51		
941	31.19	-	9.52	11.03	3.69	3.33	1.11	1.39	339.93		
942	31.23	-	8.36	10.39	3.63	2.98	1.22	1.34	344.90		
943	31.26	-	11.27	12.04	4.06	3.63	1.12	1.41	24.03		
944	31.29	-	10.67	11.65	3.98	3.46	1.15	1.44	44.23		
945	31.33	-	9.46	11.10	4.01	2.97	1.35	1.49	54.00		
946	31.36	S	8.91	10.71	5.97	4.66	1.29	1.41	51.75		
947	31.39	-	9.63	11.16	4.05	3.05	1.33	1.47	53.52		
948	31.43	-	8.32	10.34	3.64	2.89	1.26	1.37	44.48		
949	31.46	-	9.24	10.88	3.76	3.14	1.20	1.36	3.23		
950	31.49	-	9.10	10.83	3.78	3.03	1.25	1.44	351.44		
951	31.53	-	8.83	10.62	3.68	3.09	1.19	1.32	345.46		
952	31.56	D	9.05	10.73	3.60	3.28	1.19	1.38	340.93		
953	31.59	-	9.97	11.26	3.77	3.47	1.09	1.35	345.86		
954	31.63	-	9.16	10.95	3.74	3.26	1.15	1.41	347.03		
955	31.66	-	9.65	11.06	3.72	3.36	1.11	1.37	2.19		
956	31.69	-	10.82	11.80	4.04	3.46	1.17	1.41	38.95		
957	31.72	-	9.59	11.11	3.89	3.10	1.25	1.38	49.80		
958	31.76	S	8.87	10.67	5.81	4.78	1.28	1.36	52.90		
959	31.79	-	9.18	10.89	3.88	3.02	1.29	1.39	51.63		
960	31.82	-	8.55	10.43	3.63	3.03	1.20	1.31	45.31		
961	31.86	-	8.98	10.91	3.99	2.97	1.35	1.36	6.55		
962	31.89	-	9.27	10.90	3.73	3.12	1.19	1.43	354.51		
963	31.92	-	8.93	10.71	3.72	3.06	1.22	1.38	348.26		
964	31.96	D	8.73	10.53	3.57	3.18	1.22	1.35	347.29		
965	31.99	-	9.39	10.93	3.72	3.27	1.14	1.35	343.61		
966	32.02	-	9.12	10.81	3.75	3.20	1.17	1.32	347.35		
967	32.06	-	9.91	11.23	3.77	3.39	1.11	1.35	0.42		
968	32.09	-	11.07	11.86	3.91	3.61	1.08	1.37	35.70		
969	32.12	-	9.71	11.22	4.02	3.05	1.32	1.44	52.24		
970	32.16	S	8.88	10.67	5.94	4.72	1.30	1.41	52.75		
971	32.19	-	9.64	11.23	4.08	2.94	1.39	1.51	53.82		
972	32.22	-	9.15	10.94	3.99	2.87	1.39	1.45	53.47		
973	32.26	-	7.98	10.11	3.46	2.93	1.18	1.28	27.38		
974	32.29	-	9.14	10.80	3.73	3.12	1.20	1.36	355.98		
975	32.32	-	8.79	10.63	3.69	3.10	1.19	1.37	350.43		
976	32.36	D	8.84	10.59	3.59	3.19	1.22	1.37	350.70		
977	32.39	-	8.83	10.66	3.70	3.06	1.21	1.38	344.34		
978	32.42	-	8.82	10.63	3.65	3.15	1.16	1.34	346.78		
979	32.46	-	9.58	11.04	3.70	3.34	1.11	1.37	0.89		
980	32.49	-	10.87	11.76	3.92	3.59	1.09	1.35	37.38		
981	32.52	-	9.47	11.05	3.94	3.05	1.29	1.46	53.58		
982	32.55	S	9.23	10.88	5.96	4.74	1.34	1.46	55.02		
983	32.59	-	9.33	10.99	3.95	3.00	1.32	1.43	52.92		
984	32.62	-	10.04	11.42	4.14	3.05	1.36	1.55	54.27		
985	32.65	-	7.46	9.76	3.43	2.79	1.23	1.25	37.26		
986	32.69	-	8.68	10.52	3.65	3.05	1.20	1.31	2.75		
987	32.72	-	8.81	10.66	3.71	3.04	1.22	1.38	353.91		
988	32.75	D	8.44	10.42	3.67	2.96	1.31	1.32	349.28		
989	32.79	-	8.59	10.52	3.68	3.00	1.23	1.33	351.31		
990	32.82	-	8.36	10.34	3.61	2.97	1.22	1.30	346.09		
991	32.85	-	9.49	10.98	3.59	3.41	1.05	1.33	1.34		
992	32.89	-	11.84	12.32	4.08	3.77	1.08	1.45	35.83		
993	32.92	-	8.75	10.65	3.83	2.87	1.33	1.41	57.06		
994	32.95	S	9.01	10.76	3.85	3.02	1.31	1.46	56.45		
995	32.99	-	9.23	10.88	3.86	3.08	1.25	1.43	52.46		
996	33.02	-	9.36	11.02	3.94	2.94	1.34	1.49	55.53		
997	33.05	-	8.85	10.67	3.78	2.98	1.27	1.40	51.89		
998	33.09	-	8.36	10.34	3.60	2.96	1.22	1.25	16.71		
999	33.12	-	8.76	10.62	3.69	3.01	1.23	1.43	354.88		
1000	33.15	-	8.81	10.63	3.69	3.03	1.22	1.35	354.79		
1001	33.19	D	8.58	10.50	3.64	3.00	1.18	1.35	357.55		
1002	33.22	-	9.60	11.01	3.60	3.40	1.06	1.30	355.94		
1003	33.25	-	9.91	11.21	3.67	3.45	1.06	1.36	359.79		
1004	33.29	-	11.59	12.21	4.13	3.73	1.10	1.42	34.28		
1005	33.32	-	9.25	10.92	3.84	3.01	1.27	1.43	55.21		
1006	33.35	-	8.88	10.68	3.78	2.97	1.27	1.41	58.01		
1007	33.38	S	9.15	10.86	6.05	4.66	1.33	1.45	56.08		
1008	33.42	-	9.07	10.82	3.88	2.97	1.30	1.44	56.15		
1009	33.45	-	9.43	11.10	4.06	2.93	1.39	1.50	56.40		
1010	33.48	-	7.37	9.73	3.44	2.73	1.26	1.20	33.98		
1011	33.52	-	8.56	10.50	3.66	2.96	1.24	1.38	358.86		
1012	33.55	-	8.61	10.56	3.69	2.97	1.24	1.41	356.20		
1013	33.58	-	7.95	10.11	3.57	2.86	1.25	1.30	358.16		
1014	33.62	D	8.38	10.32	3.50	3.02	1.14	1.30	351.80		
1015	33.65	-	9.03	10.70	3.56	3.25	1.10	1.28	6.92		
1016	33.68	-	11.84	12.32	4.14	3.62	1.14	1.50	35.60		
1017	33.72	-	8.55	10.49	3.71	2.87	1.29	1.40	56.88		
1018	33.75	-	8.29	10.44	3.83	2.70	1.42	1.40	59.92		
1019	33.78	-	8.21	10.38	3.79	2.66	1.42	1.38	57.57		
1020	33.82	S	8.27	10.36	5.80	4.32	1.34	1.39	57.29		
1021	33.85	-	8.28	10.35	3.71	2.79	1.33	1.34	57.71		
1022	33.88	-	8.25	10.59	4.03	2.55	1.58	1.52	56.17		
1023	33.92	-	8.49	10.43	3.60	3.02	1.19	1.42	12.58		
1024	33.95	D	8.52	10.47	3.60	3.09	1.17	1.45	0.08		
1025	33.98	-	8.52	10.49	3.62	3.03	1.19	1.33	4.85		
1026	34.02	-	10.25	11.43	3.75	3.51	1.07	1.30	10.29		
1027	34.05	-	10.64	12.38	4.36	3.14	1.39	1.36	25.74		
1028	34.08	-	9.31	10.94	3.68	3.25	1.13	1.29	41.37		
1029	34.11	-	7.42	9.93	3.70	2.50	1.48	1.34	59.05		
1030	34.15	-	6.97	9.69	3.66	2.35	1.56	1.30	59.28		
1031	34.18	S	7.13	9.84	5.84	3.68	1.57	1.34	60.46		
1032	34.21	-	6.85	9.58	3.64	2.37	1.53	1.23	60.08		
1033	34.25	-	6.64	9.43	3.54	2.32	1.52	1.24	60.83		
1034	34.28	-	7.04	9.68	3.64	2.44	1.49	1.25	62.90		
1035	34.31	-	6.77	9.45	3.47	2.43	1.43	1.38	57.21		
1036	34.35	D	8.20	10.24	3.50	3.02	1.16	1.30	7.62		
1037	34.38	-	8.23	10.29	3.58	2.86	1.25	1.25	4.29		
1038	34.41	-	6.75	9.35	3.34	2.56	1.31	1.16	356.95		
1039	34.45	-	8.97	11.07	4.04	2.82	1.43	1.25	39.67		
1040	34.48	-	6.95	9.73	3.70	2.32	1.59	1.36	57.95		
1041	34.51	S	5.91	9.22	5.74	3.11	1.77	1.30	63.05		
1042	34.55	-	6.62	9.70	3.82	2.08	1.84	1.31	62.75		
1043	34.58	-	6.82	9.63	3.72	2.34	1.59	1.18	57.73		
1044	34.61	-	6.33	9.25	3.56	2.27	1.57	1.16	58.16		
1045	34.65	-	7.04	9.69	3.68	2.49	1.48	1.17	58.37		
1046	34.68	-	6.42	9.26	3.47	2.30	1.51	1.15	62.73		
1047	34.71	-	7.46	9.92	3.67	2.56	1.43	1.27	56.93		
1048	34.75	-	6.83	9.47	3.42	2.52	1.36	1.17	46.95		
1049	34.78	D	8.05	10.20	3.60	2.84	1.24	1.31	14.15		
1050	34.81	-	8.48	10.54	3.70	2.96	1.25	1.31	21.71		
1051	34.85	-	11.30	12.71	4.72	3.06	1.54	1.58	33.81		
1052	34.88	-	8.17	10.46	3.84	2.56	1.50	1.38	51.44		
1053	34.91	-	7.05	9.77	3.71	2.35	1.58	1.35	61.27		
1054	34.95	-	7.17	9.87	3.74	2.34	1.60	1.36	62.88		
1055	34.98	S	6.72	9.58	5.71	3.58	1.60	1.31	62.75		
1056	35.01	-	6.51	9.33	3.50	2.34	1.50	1.20	62.38		
1057	35.04	-	6.64	9.39	3.52	2.40	1.47	1.15	63.34		
1058	35.08	-	7.12	9.62	3.48	2.56	1.36	1.24	69.77		
1059	35.11	-	6.81	9.50	3.56	2.42	1.47	1.21	66.28		
1060	35.14	-	6.77	9.49	3.55	2.39	1.49	1.33	61.58		
1061	35.18	-	7.86	10.04	3.47	2.87	1.21	1.21	22.94		
1062	35.21	D	8.57	10.58	3.75	2.88	1.32	1.43	15.54		
1063	35.24	-	7.65	9.93	3.30	2.95	1.12	1.11	22.03		
1064	35.28	-	8.79	10.87	3.98	2.66	1.50	1.38	48.46		
1065	35.31	-	7.75	10.14	3.75	2.58	1.46	1.36	60.58		
1066	35.34	-	7.22	9.92	3.76	2.34	1.61	1.39	62.53		
1067	35.38	S	7.10	9.80	5.78	3.75	1.54	1.38	63.99		
1068	35.41	-	6.93	9.59	3.57	2.42	1.48	1.28	63.59		
1069	35.44	-	7.20	9.79	3.67	2.45	1.50	1.29	65.89		
1070	35.48	-	6.95	9.53	3.48	2.52	1.38	1.30	67.80		
1071	35.51	-	7.43	9.87	3.62	2.58	1.40	1.30	67.00		
1072	35.54	-	6.90	9.53	3.51	2.47	1.42	1.32	64.76		
1073	35.58	-	9.62	11.38	3.98	3.35	1.19	1.34	37.72		
1074	35.61	D	8.28	10.38	3.71	2.83	1.31	1.29	23.00		
1075	35.64	-	8.15	10.30	3.56	2.90	1.22	1.23	24.61		
1076	35.68	-	9.64	11.24	3.97	2.92	1.36	1.41	44.56		
1077	35.71	-	7.79	10.19	3.77	2.54	1.48	1.44	61.19		
1078	35.74	-	7.42	9.90	3.66	2.53	1.45	1.39	63.24		
1079	35.77	-	7.65	10.13	3.80	2.48	1.53	1.41	64.35		
1080	35.81	-	7.53	9.98	3.71	2.54	1.46	1.36	63.52		
1081	35.84	S	7.11	9.77	3.69	2.39	1.54	1.30	63.88		
1082	35.87	-	7.15	9.72	3.60	2.49	1.45	1.34	65.39		
1083	35.91	-	7.22	9.82	3.71	2.45	1.51	1.33	65.18		
1084	35.94	-	7.06	9.68	3.63	2.46	1.47	1.32	62.54		
1085	35.97	-	9.96	11.41	3.92	3.29	1.19	1.45	38.93		
1086	36.01	D	8.06	10.16	3.50	2.93	1.27	1.28	29.65		
1087	36.04	-	7.24	9.69	3.33	2.77	1.20	1.09	27.34		
1088	36.07	-	9.71	11.26	3.93	3.09	1.27	1.43	42.64		
1089	36.11	-	8.01	10.27	3.74	2.66	1.41	1.42	59.21		
1090	36.14	-	7.55	9.99	3.71	2.55	1.45	1.39	66.49		
1091	36.17	-	7.72	10.13	3.77	2.53	1.49	1.38	66.28		
1092	36.21	-	7.63	10.05	3.73	2.55	1.46	1.36	66.81		
1093	36.24	S	7.16	9.73	5.66	3.87	1.46	1.28	64.58		
1094	36.27	-	7.15	9.69	3.56	2.51	1.42	1.27	64.53		
1095	36.31	-	7.35	9.81	3.58	2.58	1.39	1.31	66.42		
1096	36.34	-	7.56	10.02	3.73	2.53	1.48	1.36	63.16		
1097	36.37	-	8.93	10.72	3.71	3.03	1.22	1.37	48.55		
1098	36.41	-	9.00	11.13	4.13	2.80	1.48	1.45	47.11		
1099	36.44	D	8.92	10.66	3.58	3.27	1.22	1.36	41.92		
1100	36.47	-	9.16	11.25	4.11	2.86	1.44	1.42	48.03		
1101	36.50	-	7.73	10.13	3.75	2.54	1.47	1.40	61.49		
1102	36.54	-	7.77	10.13	3.75	2.59	1.45	1.39	64.96		
1103	36.57	-	7.64	10.10	3.79	2.51	1.51	1.38	67.44		
1104	36.60	S	7.16	9.81	5.71	3.81	1.47	1.36	68.36		
1105	36.64	-	6.94	9.57	3.55	2.47	1.44	1.27	68.50		
1106	36.67	-	7.32	9.81	3.64	2.56	1.43	1.29	67.32		
1107	36.70	-	7.39	9.80	3.53	2.63	1.34	1.32	70.97		
1108	36.74	-	7.27	9.76	3.57	2.55	1.40	1.33	67.60		
1109	36.77	-	8.52	10.45	3.66	2.94	1.24	1.36	57.10		
1110	36.80	-	9.46	11.08	3.86	3.05	1.27	1.40	48.71		
1111	36.84	D	9.08	10.77	3.64	3.20	1.36	1.54	48.64		
1112	36.87	-	9.79	11.77	4.24	2.81	1.51	1.46	53.30		
1113	36.90	-	6.73	9.67	3.71	2.17	1.71	1.43	69.26		
1114	36.94	-	6.77	9.66	3.73	2.25	1.66	1.32	71.18		
1115	36.97	S	6.41	9.60	5.87	3.21	1.75	1.34	71.00		
