,frame,signal_maxima,signal_extrema,signal_maxima_nor,signal_extrema_nor
0,1,-8.729127090405044e-06,4.015357629536677e-05,0.0014221551896815487,0.0011943308827776474
1,2,0.00025015074847372184,-0.00044602345311294233,0.0023697222291461408,0.0007680981157232418
2,3,0.00045136095142961954,-0.000846795861607888,0.0017272660985536948,-0.0002899235386237976
3,4,0.0005502281904432215,-0.0010972673494749874,0.0012841881193198857,-0.0003317998569681686
4,5,0.0005275231109529233,-0.001170299833096569,0.0012912141058672602,-0.00037806688460191254
5,6,0.0003930831530229899,-0.0010811026870315174,0.0009150540789429718,-0.0002535503236575557
6,7,0.0001815081060317189,-0.0008797606059848455,0.00039348030764757845,-0.00018986587116985853
7,8,-5.8267073315887496e-05,-0.0006344901765939228,5.3977858463859205e-05,-0.00012991936081738813
8,9,-0.00027602235121752697,-0.0004111386980997677,-0.00019808185989909137,-4.698958209480303e-05
9,10,-0.0004320131166641538,-0.0002552941929060652,-0.00039353249325622535,-4.35226061825012e-05
10,11,-0.0005044030339172048,-0.00018217955395863396,-0.0004451805020902465,-1.8458579321208367e-05
11,12,-0.0004910470664768687,-0.00017675076150150857,-0.0005399187037366209,-4.4230442383321464e-05
12,13,-0.00040618110359050405,-0.00020307457843746725,-0.00061369100425848,-8.05873186466568e-05
13,14,-0.00027397866083048476,-0.00021921932779224372,-0.0007437246604264415,-7.881693616390922e-05
14,15,-0.0001214859182606784,-0.00019242177958622353,-0.000836234237934761,-4.3625459122427214e-05
15,16,2.6890913282743287e-05,-0.00010958110154079016,-0.0005826557371840929,-4.6282426051642955e-05
16,17,0.0001521425725165015,2.0006572187614314e-05,-0.000454321577199281,-4.464117125152273e-05
17,18,0.00024065585327171372,0.0001699903058287408,-0.0001060743322933468,-2.933639992014786e-05
18,19,0.0002824840579507063,0.00030795279569099417,4.362139774491236e-05,0.0006532397883886819
19,20,0.000269486153349243,0.000407783509644089,-8.24742861020033e-05,8.7261423576106e-05
20,21,0.0001948924132310109,0.000458847295968153,-0.0003277952965492716,0.0007127811029538461
21,22,5.521731494896449e-05,0.0004686289098871547,-0.0005366280084709064,0.0006720720024078277
22,23,-0.00014563259995567293,0.0004579658569203591,-0.0006509753155688263,0.0006539793776048215
23,24,-0.0003914129326328951,0.0004507422003079382,-0.0008548778604650074,4.7860915613974206e-05
24,25,-0.0006500413746153557,0.00046203838740938957,-0.0009454124298894313,0.0006408164937394704
25,26,-0.00087405592032942,0.0004894440998965604,-0.0009409524359824071,0.0005852535636092899
26,27,-0.0010067971140210374,0.0005112412430510665,-0.0008676270752857278,0.0005735383695562144
27,28,-0.0009943811029894086,0.0004927499834743063,-0.0007176724586261369,0.0005347798154215094
28,29,-0.0008012902215729265,0.00039911947824847817,-0.0005721180903708162,0.0004833858188857603
29,30,-0.00042536837406011673,0.00021030398212477418,-0.00026689211821762635,0.00044372647944122465
30,31,9.297903140452657e-05,-6.716047684230205e-05,4.439789379733751e-05,0.0004256509063183177
31,32,0.0006718823661099758,-0.00039619775243476303,0.0008243074781861524,0.0002570845108932865
32,33,0.0012014124773669322,-0.0007152029293096081,0.002091881855932941,-0.0003853911191825921
33,34,0.0015675870991957244,-0.0009528255102257116,0.0019926328372046136,-0.0007597349422036186
34,35,0.0016814702971088182,-0.0010472715727357623,0.002233181277009981,-0.000955738241453497
35,36,0.0015053160595194302,-0.0009642138895724477,0.0021372879195098115,-0.00085928543269812
36,37,0.0010675072637533925,-0.0007077418723907814,0.0023671681248991112,-0.0004948534126922773
37,38,0.0004605546623413277,-0.00032098995918357945,0.0017111148995344206,0.0008745659295655875
38,39,-0.0001788965914823929,0.00012366789209005698,0.0006001296895853281,0.0010599523375635035
39,40,-0.0007036136599477223,0.0005418427401991519,0.0002783779397397702,0.0012725475160870658
40,41,-0.0009939109714322146,0.0008567870116659279,0.00019782041594021367,0.001186497308385326
41,42,-0.0009894459901840203,0.0010161960001485678,-0.00012306849705151341,0.001153878461898998
42,43,-0.0007051854452162651,0.0010021195290550976,7.618750831233334e-05,0.0011575931417225419
43,44,-0.0002266044970700918,0.0008321473758961251,0.00028111175734121715,0.0013538425176123764
44,45,0.0003145312905779327,0.0005524066689994162,0.0011455270520519833,0.0013294478697844368
45,46,0.0007764827950002053,0.00022481681650017812,0.0023609117553149836,0.0014955390885564186
46,47,0.0010450081428878557,-8.787852171697243e-05,0.0035195181653596393,-0.00022686033922909355
47,48,0.001061011199727471,-0.0003356355993561858,0.0016030704894122074,-0.0003915364831681789
48,49,0.0008309423348555004,-0.0004902043615436951,0.0011222077260794525,-0.0002468624463338867
49,50,0.0004183521194198222,-0.0005480933329997218,0.0007034599380131694,-0.00043595020580077806
50,51,-7.901225262948711e-05,-0.0005272961571781724,0.0006191654410953403,-0.00036832732755268707
51,52,-0.0005581175322369023,-0.0004591948785745249,4.33734658023692e-06,-0.0003390646234608539
52,53,-0.0009362452556054791,-0.0003781520341724233,-0.0003080620684573889,-0.00032015470105907284
53,54,-0.0011662978586162228,-0.0003117058143743677,-0.0005425938960799181,-0.0003121645792692585
54,55,-0.001239196402943815,-0.00027390398068985526,-0.0007105841482954767,-0.0003517319364409589
55,56,-0.0011753894796608785,-0.00026328143534587326,-0.0007043741204310968,-0.00034137231154596415
56,57,-0.0010107152061858168,-0.0002656101309214252,-0.0007458373684324151,-0.00036301025417733845
57,58,-0.0007827086974664303,-0.0002602211974649251,-0.0007189799852224736,-0.00032332030056491447
